age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30,management,single,tertiary,no,444,yes,no,unknown,28,may,177,17,-1,0,unknown,no
37,technician,married,secondary,no,787,yes,no,cellular,1,feb,106,1,-1,0,unknown,no
71,retired,married,secondary,no,2715,no,no,telephone,13,aug,683,4,-1,0,unknown,no
84,retired,divorced,primary,no,12088,no,no,telephone,12,dec,130,3,-1,0,unknown,yes
55,retired,married,unknown,no,161,no,no,cellular,8,jul,98,1,-1,0,unknown,no
42,management,married,tertiary,no,489,no,no,cellular,24,may,244,1,-1,0,unknown,no
58,student,single,secondary,no,1535,no,no,cellular,11,oct,174,1,91,3,success,no
40,entrepreneur,married,tertiary,no,272,yes,no,unknown,17,may,124,3,-1,0,unknown,no
28,student,single,secondary,no,1394,no,no,cellular,7,jul,523,2,-1,0,unknown,yes
58,technician,divorced,tertiary,no,403,no,yes,cellular,5,jun,325,1,180,1,failure,no
51,technician,single,secondary,no,350,no,no,telephone,25,jan,371,5,-1,0,unknown,no
24,management,single,unknown,no,571,yes,no,cellular,27,jan,457,1,175,1,success,no
33,management,single,tertiary,no,160,no,no,cellular,28,feb,488,3,145,3,failure,yes
51,services,divorced,secondary,no,1720,no,no,cellular,23,dec,737,4,0,0,unknown,yes
40,retired,married,secondary,no,1766,yes,no,cellular,9,oct,595,1,92,4,other,no
31,technician,single,tertiary,no,1334,no,no,cellular,8,feb,701,1,-1,0,unknown,yes
47,blue-collar,divorced,secondary,yes,-57,yes,yes,cellular,11,may,180,2,-1,0,unknown,no
51,technician,married,tertiary,no,116,yes,no,cellular,6,sep,94,4,-1,0,unknown,no
30,blue-collar,married,secondary,no,676,yes,yes,cellular,27,jul,471,2,-1,0,unknown,no
57,housemaid,divorced,primary,no,3950,yes,no,telephone,17,nov,248,6,175,3,failure,no
34,entrepreneur,married,unknown,no,199,yes,no,unknown,12,jun,55,2,-1,0,unknown,no
32,services,single,secondary,no,-7,no,no,cellular,9,feb,240,1,-1,0,unknown,no
45,management,married,tertiary,no,4865,no,no,telephone,16,jul,261,6,-1,0,unknown,no
54,blue-collar,married,primary,no,-36,no,no,telephone,11,jul,303,3,-1,0,unknown,no
50,management,married,tertiary,no,522,no,no,cellular,18,nov,92,7,194,5,failure,no
41,blue-collar,single,secondary,no,7355,yes,no,cellular,22,apr,340,6,-1,0,unknown,no
56,blue-collar,married,primary,no,484,yes,yes,cellular,6,may,93,2,281,1,other,no
32,management,married,tertiary,no,-262,yes,no,unknown,4,may,90,3,-1,1,failure,no
55,retired,single,tertiary,no,1765,no,no,cellular,6,may,93,1,-1,0,unknown,no
32,services,single,secondary,yes,-173,no,no,cellular,30,aug,492,4,-1,0,unknown,no
27,blue-collar,single,primary,no,742,yes,no,telephone,7,oct,170,4,356,3,other,no
51,retired,married,tertiary,no,3898,no,no,cellular,27,mar,307,1,189,1,success,no
37,technician,single,tertiary,no,3049,no,no,cellular,16,aug,83,4,-1,0,unknown,no
45,technician,divorced,tertiary,no,170,no,no,cellular,17,jan,67,1,-1,0,unknown,no
33,services,married,secondary,no,777,yes,no,unknown,19,may,474,2,-1,0,unknown,no
18,student,single,secondary,no,-383,yes,no,cellular,9,may,86,4,113,1,other,no
43,self-employed,married,unknown,no,1382,yes,no,cellular,20,nov,534,1,-1,0,unknown,no
31,blue-collar,married,primary,no,5557,yes,no,telephone,21,feb,182,1,-1,0,unknown,no
29,services,single,secondary,no,90,yes,no,cellular,13,may,205,2,334,1,other,yes
24,student,single,secondary,no,1715,yes,no,cellular,30,may,274,6,-1,0,unknown,no
51,management,married,tertiary,no,-136,yes,no,cellular,21,apr,132,5,-1,0,unknown,no
41,blue-collar,single,unknown,no,26,yes,no,unknown,12,may,501,3,-1,0,unknown,no
43,management,married,tertiary,no,2499,yes,no,cellular,16,aug,42,5,91,7,success,no
60,management,married,tertiary,no,9262,no,no,cellular,15,dec,452,3,203,3,success,no
30,management,single,tertiary,no,26,yes,no,unknown,6,may,163,2,-1,0,unknown,no
30,technician,single,secondary,no,131,yes,no,cellular,11,jul,161,3,-1,0,unknown,no
60,housemaid,married,primary,no,409,no,no,telephone,17,aug,355,2,-1,0,unknown,no
54,technician,divorced,tertiary,no,350,no,no,cellular,9,oct,47,1,190,1,success,no
53,management,married,secondary,no,1387,yes,no,cellular,16,nov,255,1,102,2,failure,yes
34,management,single,tertiary,no,57,yes,no,cellular,6,may,302,1,-1,0,unknown,yes
26,blue-collar,single,secondary,no,152,yes,no,cellular,13,may,322,2,-1,0,unknown,yes
31,services,married,secondary,no,734,yes,no,cellular,14,may,208,2,-1,0,unknown,no
57,services,divorced,secondary,no,1898,yes,no,cellular,15,jul,397,2,175,3,unknown,yes
20,student,single,secondary,no,661,no,no,cellular,22,oct,405,1,118,10,success,yes
53,entrepreneur,married,secondary,no,1206,no,yes,cellular,7,aug,277,3,-1,0,unknown,yes
27,student,single,secondary,no,133,no,no,cellular,9,jul,520,1,354,0,unknown,yes
25,admin.,single,secondary,no,545,yes,no,unknown,9,may,302,16,-1,0,unknown,no
51,technician,divorced,secondary,no,1982,yes,no,cellular,28,apr,449,1,-1,0,unknown,no
41,unknown,single,unknown,no,178,no,no,cellular,9,may,152,1,-1,0,unknown,no
28,student,single,unknown,no,811,no,no,unknown,21,jun,484,4,0,0,unknown,no
46,technician,married,tertiary,no,288,no,no,unknown,4,jun,105,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,910,yes,no,cellular,17,may,72,2,358,2,failure,no
49,housemaid,married,primary,no,2259,no,no,cellular,18,aug,268,4,-1,0,unknown,no
47,technician,married,secondary,no,1062,yes,no,unknown,11,may,154,3,-1,0,unknown,no
32,management,married,tertiary,no,118,no,no,cellular,18,aug,392,1,-1,0,unknown,yes
37,blue-collar,single,secondary,no,-256,yes,no,unknown,15,may,139,2,-1,0,unknown,no
23,technician,single,tertiary,no,5473,yes,no,cellular,16,may,239,2,331,3,failure,no
46,unknown,married,primary,no,5029,no,no,cellular,24,may,272,4,-1,0,unknown,no
30,blue-collar,single,unknown,no,12,yes,no,unknown,6,may,300,2,-1,0,unknown,no
48,technician,married,tertiary,no,659,no,no,cellular,20,aug,85,7,78,0,failure,no
54,blue-collar,divorced,primary,no,46,yes,no,cellular,8,may,266,1,343,3,failure,no
42,blue-collar,married,secondary,no,469,yes,yes,telephone,21,jul,84,1,-1,0,unknown,no
58,retired,married,secondary,no,3056,no,no,cellular,14,aug,113,17,-1,0,unknown,no
26,services,single,secondary,no,2483,no,no,cellular,7,mar,311,2,88,1,success,yes
39,blue-collar,single,tertiary,no,4001,no,no,cellular,1,apr,1290,3,-1,0,unknown,yes
28,management,married,tertiary,no,271,yes,no,cellular,29,may,161,2,350,3,failure,no
42,blue-collar,married,primary,yes,-61,yes,no,cellular,9,jul,194,2,-1,0,unknown,no
25,technician,single,secondary,no,1124,yes,no,cellular,18,dec,580,1,140,1,other,yes
61,technician,divorced,tertiary,no,343,no,no,cellular,13,aug,169,3,-1,0,unknown,no
28,technician,divorced,secondary,no,25,yes,no,cellular,4,may,179,3,357,1,failure,no
39,blue-collar,single,primary,no,-55,yes,no,unknown,10,may,214,5,-1,0,unknown,no
26,student,single,tertiary,no,499,yes,no,unknown,13,aug,813,2,-1,0,unknown,yes
41,blue-collar,divorced,secondary,no,-37,yes,no,cellular,12,may,192,4,-1,0,unknown,no
35,self-employed,single,tertiary,no,38,yes,no,cellular,7,may,130,4,-1,0,unknown,no
33,admin.,single,secondary,no,617,yes,no,unknown,27,may,298,3,-1,0,unknown,no
43,self-employed,divorced,tertiary,no,1055,yes,no,cellular,30,may,553,1,-1,0,unknown,no
63,retired,divorced,secondary,no,1510,no,yes,cellular,7,oct,601,1,136,1,failure,yes
43,retired,married,secondary,no,473,yes,no,cellular,18,jun,641,1,-1,0,unknown,no
57,blue-collar,married,primary,yes,3866,no,no,telephone,20,jun,43,4,-1,0,unknown,no
56,technician,single,tertiary,no,1929,no,no,cellular,4,aug,420,2,84,1,success,no
47,housemaid,married,unknown,no,100,yes,no,cellular,10,may,47,1,93,5,failure,no
57,blue-collar,divorced,primary,no,1198,no,no,cellular,11,may,390,5,-1,0,unknown,no
44,management,divorced,secondary,no,990,yes,no,cellular,30,jan,63,1,341,6,failure,no
39,blue-collar,divorced,primary,no,-55,yes,no,unknown,12,may,632,2,-1,0,unknown,no
39,blue-collar,single,secondary,no,-391,yes,no,unknown,4,may,100,2,-1,0,unknown,no
56,management,married,unknown,yes,-74,yes,no,cellular,10,jul,323,2,-1,0,unknown,yes
41,blue-collar,single,primary,no,1071,yes,no,unknown,11,may,147,7,-1,0,unknown,no
39,management,single,tertiary,no,654,no,no,cellular,20,sep,457,2,179,2,other,yes
43,technician,married,unknown,no,3464,yes,no,unknown,20,may,72,6,-1,0,unknown,no
51,services,divorced,secondary,no,3473,yes,no,cellular,18,apr,244,2,175,1,failure,no
34,management,married,tertiary,no,160,no,no,cellular,1,feb,371,3,-1,0,unknown,no
30,blue-collar,single,secondary,no,-35,yes,no,unknown,11,may,660,2,-1,0,unknown,no
41,technician,married,tertiary,yes,579,yes,no,cellular,9,jul,300,4,-1,0,unknown,no
27,self-employed,single,tertiary,no,142,yes,no,unknown,31,may,313,2,-1,0,unknown,no
29,management,married,secondary,yes,2399,yes,no,cellular,19,oct,78,4,95,4,success,no
41,blue-collar,single,secondary,no,-53,yes,no,unknown,14,may,197,2,-1,0,unknown,no
51,admin.,single,secondary,no,1953,yes,no,cellular,20,jul,403,1,126,1,other,no
59,technician,married,secondary,no,11103,no,no,unknown,14,jun,69,4,-1,0,unknown,no
61,entrepreneur,married,secondary,no,258,yes,no,unknown,5,may,229,3,-1,0,unknown,no
38,admin.,married,secondary,no,28,yes,no,cellular,26,may,430,3,-1,0,unknown,no
40,admin.,divorced,secondary,no,-61,yes,no,unknown,20,oct,89,1,-1,0,unknown,no
34,blue-collar,married,unknown,no,2281,no,no,cellular,7,feb,455,4,-1,0,unknown,no
57,technician,divorced,secondary,no,2201,no,no,cellular,26,feb,584,1,-1,0,unknown,no
58,retired,married,secondary,no,1051,no,no,cellular,8,sep,263,1,185,3,success,no
34,admin.,single,secondary,no,-76,yes,no,unknown,11,may,215,2,-1,0,unknown,no
54,services,divorced,secondary,no,1502,no,no,telephone,26,aug,70,5,-1,0,unknown,no
32,entrepreneur,married,tertiary,no,75,no,no,cellular,20,may,215,1,-1,0,unknown,no
50,admin.,divorced,tertiary,no,771,yes,no,cellular,26,may,572,3,-1,0,other,yes
31,entrepreneur,married,primary,no,41,no,no,cellular,20,feb,207,3,-1,0,unknown,yes
42,entrepreneur,married,tertiary,no,696,yes,no,telephone,22,nov,225,1,-1,0,unknown,no
27,management,single,tertiary,no,3707,no,no,cellular,19,aug,664,2,171,3,failure,no
