,question_text,subject,topic,avg_score,correct_percentage,num_students_attempted,num_students_correct,time_taken_minutes,bloom_level,difficulty
0,Explain the working of Data Structures.,Computer Science,Data Structures,65.0,0.65,180.0,117.0,3.0,Understand,Medium
1,Explain the working of Newton's Laws.,Physics,Newton's Laws,58.6,0.59,256.0,151.0,3.0,Understand,Medium
2,Define Thermodynamics.,Physics,Thermodynamics,83.2,0.83,53.0,43.0,3.0,Remember,Easy
3,Describe the importance of Quadratic Equations.,Mathematics,Quadratic Equations,75.2,0.75,43.0,32.0,5.0,Apply,Medium
4,Define Photosynthesis.,Biology,Photosynthesis,76.1,0.76,212.0,161.0,1.0,Remember,Easy
5,Identify the main idea behind Newton's Laws.,Physics,Newton's Laws,76.1,0.76,175.0,133.0,2.0,Remember,Easy
6,Evaluate the effectiveness of Thermodynamics.,Physics,Thermodynamics,57.8,0.58,80.0,46.0,8.0,Analyze,Hard
7,Explain the working of World War II.,History,World War II,67.7,0.68,156.0,106.0,3.0,Understand,Medium
8,List the key features of Quadratic Equations.,Mathematics,Quadratic Equations,74.2,0.74,226.0,167.0,2.0,Remember,Easy
9,Describe the importance of Thermodynamics.,Physics,Thermodynamics,65.4,0.65,127.0,82.0,3.0,Understand,Medium
10,Explain the working of Supply and Demand.,Economics,Supply and Demand,55.4,0.55,152.0,83.0,5.0,Understand,Medium
11,Analyze the impact of Photosynthesis.,Biology,Photosynthesis,37.3,0.37,177.0,65.0,8.0,Analyze,Hard
12,Compare Quadratic Equations with related concepts.,Mathematics,Quadratic Equations,62.4,0.62,274.0,169.0,6.0,Understand,Medium
13,Compare Cell Division with related concepts.,Biology,Cell Division,40.9,0.41,259.0,106.0,5.0,Understand,Medium
14,Explain the working of Photosynthesis.,Biology,Photosynthesis,42.8,0.43,64.0,27.0,3.0,Apply,Medium
15,Describe the importance of Operating Systems.,Computer Science,Operating Systems,54.4,0.54,235.0,126.0,6.0,Understand,Medium
18,Evaluate the effectiveness of Quadratic Equations.,Mathematics,Quadratic Equations,32.9,0.33,141.0,46.0,9.0,Analyze,Hard
19,Compare Photosynthesis with related concepts.,Biology,Photosynthesis,45.9,0.46,49.0,22.0,6.0,Understand,Medium
20,Identify the main idea behind Photosynthesis.,Biology,Photosynthesis,89.7,0.9,80.0,72.0,3.0,Remember,Easy
21,Design a solution based on Quadratic Equations.,Mathematics,Quadratic Equations,39.7,0.4,104.0,41.0,9.0,Analyze,Hard
22,Identify the main idea behind Data Structures.,Computer Science,Data Structures,78.5,0.79,256.0,202.0,3.0,Understand,Easy
23,Identify the main idea behind Operating Systems.,Computer Science,Operating Systems,66.6,0.67,231.0,154.0,3.0,Remember,Easy
25,Define Data Structures.,Computer Science,Data Structures,78.9,0.79,70.0,55.0,3.0,Understand,Easy
26,Define Operating Systems.,Computer Science,Operating Systems,68.8,0.69,182.0,125.0,1.0,Understand,Easy
31,Design a solution based on Newton's Laws.,Physics,Newton's Laws,60.5,0.61,90.0,54.0,9.0,Analyze,Hard
32,Evaluate the effectiveness of Cell Division.,Biology,Cell Division,41.9,0.42,125.0,52.0,6.0,Analyze,Hard
33,Analyze the impact of Cell Division.,Biology,Cell Division,31.4,0.31,124.0,38.0,5.0,Evaluate,Hard
34,Design a solution based on Cell Division.,Biology,Cell Division,50.2,0.5,186.0,93.0,8.0,Analyze,Hard
37,Evaluate the effectiveness of Data Structures.,Computer Science,Data Structures,22.4,0.22,74.0,16.0,5.0,Analyze,Hard
38,Describe the importance of Cell Division.,Biology,Cell Division,46.7,0.47,81.0,38.0,3.0,Apply,Medium
39,List the key features of Data Structures.,Computer Science,Data Structures,79.6,0.8,200.0,160.0,3.0,Remember,Easy
41,Explain the working of Thermodynamics.,Physics,Thermodynamics,61.7,0.62,77.0,47.0,3.0,Understand,Medium
42,Evaluate the effectiveness of Supply and Demand.,Economics,Supply and Demand,40.8,0.41,165.0,67.0,5.0,Evaluate,Hard
43,Analyze the impact of Thermodynamics.,Physics,Thermodynamics,39.0,0.39,194.0,75.0,10.0,Analyze,Hard
46,List the key features of Cell Division.,Biology,Cell Division,74.3,0.74,87.0,64.0,1.0,Remember,Easy
47,Identify the main idea behind Quadratic Equations.,Mathematics,Quadratic Equations,86.5,0.86,174.0,149.0,1.0,Understand,Easy
49,Explain the working of Quadratic Equations.,Mathematics,Quadratic Equations,42.4,0.42,260.0,109.0,4.0,Apply,Medium
50,Design a solution based on Data Structures.,Computer Science,Data Structures,45.2,0.45,223.0,100.0,5.0,Analyze,Hard
51,Define Quadratic Equations.,Mathematics,Quadratic Equations,74.9,0.75,248.0,186.0,3.0,Remember,Easy
53,Define Cell Division.,Biology,Cell Division,82.9,0.83,95.0,78.0,3.0,Remember,Easy
54,Define World War II.,History,World War II,86.2,0.86,219.0,188.0,2.0,Remember,Easy
57,Describe the importance of Photosynthesis.,Biology,Photosynthesis,56.9,0.57,59.0,33.0,5.0,Apply,Medium
61,Describe the importance of World War II.,History,World War II,58.1,0.58,246.0,142.0,5.0,Understand,Medium
62,Compare World War II with related concepts.,History,World War II,48.9,0.49,129.0,63.0,6.0,Apply,Medium
63,List the key features of Operating Systems.,Computer Science,Operating Systems,68.4,0.68,204.0,138.0,2.0,Remember,Easy
65,Analyze the impact of Data Structures.,Computer Science,Data Structures,55.6,0.56,198.0,110.0,6.0,Analyze,Hard
70,Evaluate the effectiveness of Operating Systems.,Computer Science,Operating Systems,45.6,0.46,283.0,130.0,10.0,Evaluate,Hard
72,Compare Supply and Demand with related concepts.,Economics,Supply and Demand,59.6,0.6,179.0,107.0,4.0,Understand,Medium
74,Define Newton's Laws.,Physics,Newton's Laws,57.0,0.57,252.0,143.0,2.0,Understand,Easy
76,Identify the main idea behind Thermodynamics.,Physics,Thermodynamics,78.7,0.79,254.0,200.0,2.0,Understand,Easy
77,List the key features of Newton's Laws.,Physics,Newton's Laws,75.6,0.76,288.0,218.0,2.0,Understand,Easy
80,List the key features of Supply and Demand.,Economics,Supply and Demand,76.2,0.76,272.0,206.0,1.0,Understand,Easy
81,Evaluate the effectiveness of Photosynthesis.,Biology,Photosynthesis,45.6,0.46,169.0,77.0,8.0,Analyze,Hard
82,Design a solution based on Photosynthesis.,Biology,Photosynthesis,56.8,0.57,154.0,87.0,7.0,Analyze,Hard
83,Analyze the impact of Quadratic Equations.,Mathematics,Quadratic Equations,36.8,0.37,50.0,18.0,6.0,Evaluate,Hard
87,Compare Newton's Laws with related concepts.,Physics,Newton's Laws,63.3,0.63,101.0,63.0,5.0,Apply,Medium
91,Analyze the impact of Operating Systems.,Computer Science,Operating Systems,51.7,0.52,182.0,94.0,5.0,Evaluate,Hard
93,Design a solution based on World War II.,History,World War II,38.7,0.39,183.0,71.0,7.0,Analyze,Hard
97,Design a solution based on Supply and Demand.,Economics,Supply and Demand,44.6,0.45,209.0,94.0,9.0,Evaluate,Hard
99,Identify the main idea behind World War II.,History,World War II,76.1,0.76,287.0,218.0,3.0,Remember,Easy
100,Analyze the impact of Supply and Demand.,Economics,Supply and Demand,27.8,0.28,156.0,43.0,7.0,Analyze,Hard
102,Describe the importance of Newton's Laws.,Physics,Newton's Laws,56.6,0.57,92.0,52.0,6.0,Apply,Medium
106,Compare Operating Systems with related concepts.,Computer Science,Operating Systems,78.9,0.79,234.0,184.0,4.0,Apply,Medium
110,Compare Data Structures with related concepts.,Computer Science,Data Structures,40.8,0.41,76.0,31.0,6.0,Apply,Medium
113,Compare Thermodynamics with related concepts.,Physics,Thermodynamics,80.0,0.8,296.0,236.0,5.0,Understand,Medium
124,Design a solution based on Operating Systems.,Computer Science,Operating Systems,47.9,0.48,118.0,56.0,10.0,Evaluate,Hard
130,Identify the main idea behind Cell Division.,Biology,Cell Division,65.6,0.66,235.0,155.0,2.0,Understand,Easy
135,Describe the importance of Data Structures.,Computer Science,Data Structures,75.5,0.75,187.0,140.0,4.0,Apply,Medium
146,Identify the main idea behind Supply and Demand.,Economics,Supply and Demand,68.1,0.68,57.0,38.0,2.0,Remember,Easy
153,Explain the working of Cell Division.,Biology,Cell Division,62.3,0.62,194.0,120.0,6.0,Understand,Medium
161,Analyze the impact of World War II.,History,World War II,49.9,0.5,41.0,20.0,9.0,Evaluate,Hard
175,Describe the importance of Supply and Demand.,Economics,Supply and Demand,68.3,0.68,95.0,64.0,4.0,Understand,Medium
181,Evaluate the effectiveness of World War II.,History,World War II,33.4,0.33,81.0,26.0,5.0,Evaluate,Hard
203,List the key features of World War II.,History,World War II,86.4,0.86,237.0,203.0,1.0,Understand,Easy
229,Explain the working of Operating Systems.,Computer Science,Operating Systems,66.8,0.67,72.0,48.0,4.0,Understand,Medium
248,List the key features of Thermodynamics.,Physics,Thermodynamics,92.1,0.92,285.0,262.0,2.0,Remember,Easy
259,Design a solution based on Thermodynamics.,Physics,Thermodynamics,49.7,0.5,229.0,114.0,6.0,Evaluate,Hard
282,Evaluate the effectiveness of Newton's Laws.,Physics,Newton's Laws,57.9,0.58,188.0,109.0,6.0,Evaluate,Hard
309,Define Supply and Demand.,Economics,Supply and Demand,76.4,0.76,108.0,82.0,3.0,Understand,Easy
347,List the key features of Photosynthesis.,Biology,Photosynthesis,66.7,0.67,158.0,105.0,2.0,Understand,Easy
640,Analyze the impact of Newton's Laws.,Physics,Newton's Laws,38.6,0.39,186.0,72.0,8.0,Evaluate,Hard
0,Calculate the value of C++ Programming given the standard parameters.,Computer Science,C++ Programming,46.0,0.46,517.0,237.0,8.0,Apply,Medium
1,Design an experiment to demonstrate the properties of SQL Queries.,Computer Science,SQL Queries,37.9,0.38,243.0,92.0,19.0,Create,Hard
2,How does Python Lists and Tuples affect the overall outcome of the process? Explain.,Computer Science,Python Lists and Tuples,46.4,0.46,424.0,196.0,8.0,Analyze,Medium
3,Write any two characteristics of Computer Networks (OSI Model).,Computer Science,Computer Networks (OSI Model),72.7,0.73,346.0,251.0,3.0,Understand,Easy
4,How does Boolean Algebra affect the overall outcome of the process? Explain.,Computer Science,Boolean Algebra,61.3,0.61,223.0,136.0,6.0,Analyze,Medium
5,Suggest three measures to improve the efficiency of Cyber Safety.,Computer Science,Cyber Safety,16.0,0.16,599.0,95.0,17.0,Create,Hard
6,How is HTML/CSS Structure different from other concepts in this category?,Computer Science,HTML/CSS Structure,88.1,0.88,596.0,525.0,2.0,Understand,Easy
7,Explain the process of Electric Current and Circuits with the help of a labeled diagram.,Physics,Electric Current and Circuits,67.0,0.67,185.0,123.0,5.0,Apply,Medium
