Vendor,Vendor State,NIC Codes,Certifications,Udyam No,Tender,Tender Category,Tender State,Estimated Value,Overall Score,Status,Confidence
Tiwari Tech Solutions Pvt. Ltd.,Uttar Pradesh,"62012, 62020, 62011, 70210, 70220, 80200","MSME, UDYAM, GEM-SP, ISO-9001",UDYAM-UP-12-0012345,Warehousing Service- Lumpsum quote based - Pharmaceutical; Dry /normal warehouse.; Godown with services (preservation...,Warehousing Service- Lumpsum quote based,Gujarat,19200000.0,85.0,ELIGIBLE,90.0
Sharma Enterprises,Delhi (NCR),"52231, 52243, 33200, 3312, 33129","MSME, UDYAM, GEM-SP",UDYAM-DL-02-0019489,Shrink Wrap Machine,General Procurement,Maharashtra,51364.0,80.0,ELIGIBLE,90.0
Tiwari Tech Solutions Pvt. Ltd.,Uttar Pradesh,"62012, 62020, 62011, 70210, 70220, 80200","MSME, UDYAM, GEM-SP, ISO-9001",UDYAM-UP-12-0012345,"Drone Simulator Software,Remote Controller for Simulator Software,High End VR Headsets for Simulator Software,Trainin...",Multi-Item Procurement (BOQ),Central Government,47440205.0,80.0,ELIGIBLE,90.0
Tiwari Tech Solutions Pvt. Ltd.,Uttar Pradesh,"62012, 62020, 62011, 70210, 70220, 80200","MSME, UDYAM, GEM-SP, ISO-9001",UDYAM-UP-12-0012345,Custom Bid for Services - Total Lumpsum Price for- HIRING ArcGIS SOFTWARE SUPPORT AND MAINTENANCE SERVICES FOR 02 YEARS,Custom Bid for Services Total,Uttar Pradesh,17885880.0,80.0,ELIGIBLE,90.0
Tiwari Tech Solutions Pvt. Ltd.,Uttar Pradesh,"62012, 62020, 62011, 70210, 70220, 80200","MSME, UDYAM, GEM-SP, ISO-9001",UDYAM-UP-12-0012345,All in One PC (V2),Information Technology,Central Government,275000.0,80.0,ELIGIBLE,90.0
Tiwari Tech Solutions Pvt. Ltd.,Uttar Pradesh,"62012, 62020, 62011, 70210, 70220, 80200","MSME, UDYAM, GEM-SP, ISO-9001",UDYAM-UP-12-0012345,"Update, Maintenance and Support (UMS) of 01 PV Elite CX Software License for ONE year",General Procurement,Central Government,2525000.0,80.0,ELIGIBLE,90.0
Tiwari Tech Solutions Pvt. Ltd.,Uttar Pradesh,"62012, 62020, 62011, 70210, 70220, 80200","MSME, UDYAM, GEM-SP, ISO-9001",UDYAM-UP-12-0012345,"Full HD 1080p PTZ Video Conferencing Camera,Digital Podium including 21inch touch screen with dual touch and controll...",Multi-Item Procurement (BOQ),Central Government,1000000.0,80.0,ELIGIBLE,90.0
Tiwari Tech Solutions Pvt. Ltd.,Uttar Pradesh,"62012, 62020, 62011, 70210, 70220, 80200","MSME, UDYAM, GEM-SP, ISO-9001",UDYAM-UP-12-0012345,AI BASED RUSSIAN TO ENGLISH TRANSLATION SOFTWARE AS PER ENCLOSED SPECIFICATION.,General Procurement,Central Government,2525000.0,80.0,ELIGIBLE,90.0
Tiwari Tech Solutions Pvt. Ltd.,Uttar Pradesh,"62012, 62020, 62011, 70210, 70220, 80200","MSME, UDYAM, GEM-SP, ISO-9001",UDYAM-UP-12-0012345,"Entry and Mid Level Desktop Computer,All in One PC (V2),All in One PC (V2),All in One PC (V2),All in One PC (V2),Line...",Information Technology,Central Government,1500000.0,80.0,ELIGIBLE,90.0
Tiwari Tech Solutions Pvt. Ltd.,Uttar Pradesh,"62012, 62020, 62011, 70210, 70220, 80200","MSME, UDYAM, GEM-SP, ISO-9001",UDYAM-UP-12-0012345,Custom Bid for Services - Annual maintenance contract for computers and peripherals Non Comprehensive and quick heal ...,Custom Bid for Services Annual,Central Government,100000.0,80.0,ELIGIBLE,90.0
